Table,Field name,Recommended Baserow type,Required by code,Code usage,Purpose,Options / linked table / formula,Notes
Site Settings,Site title,Single line text,Yes,Public site,Site name used in page metadata and header,,Primary content row is the first row with this or Header logo
Site Settings,Header text,Long text,No,Header,Optional header copy,,
Site Settings,Footer text,Long text,No,Footer,Footer copy,,
Site Settings,Join button text,Single line text,No,Header,Legacy/default joining button label,,
Site Settings,Join button URL,URL,No,Header,Legacy/default joining button destination,,
Site Settings,Header button text,Single line text,No,Header,Primary header action label,,Code also accepts Header Button Text
Site Settings,Header Button URL,URL,No,Header,Primary header action destination,,Code also accepts Header button URL
Site Settings,Background colour,Single line text,No,Theme,Site background CSS colour,,Hex recommended
Site Settings,Primary colour,Single line text,No,Theme,Primary CSS colour,,Hex recommended
Site Settings,Highlight colour,Single line text,No,Theme,Card and panel highlight colour,,Hex recommended
Site Settings,Border colour,Single line text,No,Theme,Border CSS colour,,Hex recommended
Site Settings,Header logo,File,No,Header,Header logo image,,One image
Site Settings,Footer logo,File,No,Footer,Footer logo image,,One image
Site Settings,Contact email,Email,No,Footer,Public contact email,,
Site Settings,Tagline,Single line text,No,Header/footer,Site tagline,,
Site Settings,Header logo size,Single select,No,Header,Header logo scale,small; medium; large,
Site Settings,Footer logo size,Single select,No,Footer,Footer logo scale,small; medium; large,
Site Settings,Header height,Single select,No,Header,Header vertical spacing,compact; medium; large,
Site Settings,Footer height,Single select,No,Footer,Footer vertical spacing,compact; medium; large,
Site Settings,Navigation text size,Single select,No,Header,Navigation typography,small; medium; large,
Site Settings,Button text size,Single select,No,Global UI,Button typography,small; medium; large,
Site Settings,Basket heading,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Basket empty text,Long text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Basket total label,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Basket checkout button,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Basket notice,Long text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Basket floating label,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout basket heading,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout empty heading,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout empty text,Long text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout verify heading,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout verify body,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout email label,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout email button,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout confirm heading,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout confirm button,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout return text,Long text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Checkout success heading,Single line text,No,Basket / checkout,Editable customer-facing interface copy,,
Site Settings,Navigation label 1,Single line text,No,Header,Navigation link label,,
Site Settings,Navigation URL 1,URL,No,Header,Navigation link destination,,
Site Settings,Navigation label 2,Single line text,No,Header,Navigation link label,,
Site Settings,Navigation URL 2,URL,No,Header,Navigation link destination,,
Site Settings,Navigation label 3,Single line text,No,Header,Navigation link label,,
Site Settings,Navigation URL 3,URL,No,Header,Navigation link destination,,
Site Settings,Navigation label 4,Single line text,No,Header,Navigation link label,,
Site Settings,Navigation URL 4,URL,No,Header,Navigation link destination,,
Site Settings,Navigation label 5,Single line text,No,Header,Navigation link label,,
Site Settings,Navigation URL 5,URL,No,Header,Navigation link destination,,
Site Settings,Soil Association logo,File,No,Cards / dashboard,Logo or badge image,,One image; certification logos shown when matching Certification option
Site Settings,EU Organic logo,File,No,Cards / dashboard,Logo or badge image,,One image; certification logos shown when matching Certification option
Site Settings,Wildfarmed logo,File,No,Cards / dashboard,Logo or badge image,,One image; certification logos shown when matching Certification option
Site Settings,Organic Food Federation logo,File,No,Cards / dashboard,Logo or badge image,,One image; certification logos shown when matching Certification option
Site Settings,Founder 10 badge,File,No,Cards / dashboard,Logo or badge image,,One image; certification logos shown when matching Certification option
Site Settings,Founder 25 badge,File,No,Cards / dashboard,Logo or badge image,,One image; certification logos shown when matching Certification option
Site Settings,Founder 50 badge,File,No,Cards / dashboard,Logo or badge image,,One image; certification logos shown when matching Certification option
Site Settings,Perk 1 unlock weeks,Number,No,Dashboard,Membership age needed to unlock perk,Integer weeks,
Site Settings,Perk 1 text,Single line text,No,Dashboard,Membership perk wording,,
Site Settings,Perk 2 unlock weeks,Number,No,Dashboard,Membership age needed to unlock perk,Integer weeks,
Site Settings,Perk 2 text,Single line text,No,Dashboard,Membership perk wording,,
Site Settings,Perk 3 unlock weeks,Number,No,Dashboard,Membership age needed to unlock perk,Integer weeks,
Site Settings,Perk 3 text,Single line text,No,Dashboard,Membership perk wording,,
Site Settings,Perk 4 unlock weeks,Number,No,Dashboard,Membership age needed to unlock perk,Integer weeks,
Site Settings,Perk 4 text,Single line text,No,Dashboard,Membership perk wording,,
Site Settings,Perk 5 unlock weeks,Number,No,Dashboard,Membership age needed to unlock perk,Integer weeks,
Site Settings,Perk 5 text,Single line text,No,Dashboard,Membership perk wording,,
Site Settings,Increase commitment button text,Single line text,No,Dashboard,BACS increase button label,,
Site Settings,Increase commitment button URL,URL,No,Dashboard,BACS increase button destination,,
Site Settings,Bank account name,Single line text,No,Dashboard/email,Standing-order account name,,
Site Settings,Bank sort code,Single line text,No,Dashboard/email,Standing-order sort code,,Keep as text
Site Settings,Bank account number,Single line text,No,Dashboard/email,Standing-order account number,,Keep as text
Pages,Slug,Single line text,Yes,Routing,Page URL slug,,Primary field recommended
Pages,Title,Single line text,Yes,Page hero,Main page title,,
Pages,Intro,Long text,No,Page hero,Introductory copy,,
Pages,Button text,Single line text,No,Page hero,Hero action label,,
Pages,Button URL,URL,No,Page hero,Hero action destination,,
Pages,Hero image,File,No,Page hero,Hero image,,One image
Pages,Subtitle,Single line text,No,Page hero,Hero subtitle,,
Pages,Visible,Boolean,Yes,Routing,Whether page is published,,Defaults true
Pages,SEO title,Single line text,No,Metadata,Browser/search title,,
Pages,SEO description,Long text,No,Metadata,Search description,,
Pages,Hero layout,Single select,No,Page hero,Hero layout,text-left; text-right; text-only; banner; none,
Pages,Title size,Single select,No,Page hero,Title scale,Very small; Small; Medium; Large; Very large,
Pages,Subtitle size,Single select,No,Page hero,Subtitle scale,Very small; Small; Medium; Large; Very large,
Pages,Intro size,Single select,No,Page hero,Intro scale,Very small; Small; Medium; Large; Very large,
Pages,Hero image shape,Single select,No,Page hero,Responsive image frame shape,Landscape; Square; Portrait; Natural,Uses aspect ratio rather than a fixed height
Pages,Hero image fit,Single select,No,Page hero,Image crop behaviour,Fill frame; Show whole image,Translated to CSS object-fit: cover / contain
Pages,Hero image alignment,Single select,No,Page hero,Image focal alignment,Top left; Top centre; Top right; Centre left; Centre; Centre right; Bottom left; Bottom centre; Bottom right,Controls the visible focal area when the frame crops the image
Pages,Sections,Link to table,No,Baserow administration,Backlink to Sections,Sections,Not read directly
Pages,Hero alignment,Single select,No,Page hero,Text alignment,left; center; right,
Pages,Hero padding,Single select,No,Page hero,Hero spacing,small; medium; large,
Pages,Hero width,Single select,No,Page hero,Hero content width,Narrow; Standard; Wide; Full,Wide uses the same maximum width as Sections
Pages,Hero gap,Single select,No,Page hero,Responsive gap between hero text and image,Compact; Normal; Wide,On stacked mobile layouts this becomes a consistent vertical gap
Sections,Key,Single line text,Yes,Section rendering,Stable internal section identifier,,Primary field recommended
Sections,Page,Link to table,Yes,Section rendering,Page containing the section,Pages,
Sections,Body,Long text,No,Section rendering,Main section copy,,
Sections,Heading,Single line text,No,Section rendering,Section heading,,
Sections,Image,File,No,Section rendering,Section image,,One image
Sections,Image 2,File,No,Card mini-gallery,Optional second image for a grouped content card,,"When present with another image, the card becomes swipeable"
Sections,Image 2 alt text,Single line text,No,Accessibility,Alternative text for the second card image,,Describe the image briefly; leave blank only if decorative
Sections,Image 3,File,No,Card mini-gallery,Optional third image for a grouped content card,,"When present with another image, the card becomes swipeable"
Sections,Image 3 alt text,Single line text,No,Accessibility,Alternative text for the third card image,,Describe the image briefly; leave blank only if decorative
Sections,Order,Number,Yes,Section ordering,Display order,,Integer
Sections,Visible,Boolean,Yes,Section filtering,Whether section is displayed,,Defaults true
Sections,Section type,Single select,No,Section rendering,Renderer/layout type,text; split; cards; grid; gallery; cta; banner; spacer,Use types configured in SectionRenderer
Sections,Eyebrow,Single line text,No,Section rendering,Small heading above title,,
Sections,Subheading,Single line text,No,Section rendering,Secondary heading,,
Sections,Image alt text,Single line text,No,Accessibility,Alternative image text,,
Sections,Button text,Single line text,No,Section rendering,Action label,,
Sections,Button URL,URL,No,Section rendering,Action destination,,
Sections,Heading size,Single select,No,Styling,Heading scale,small; medium; large,
Sections,Subheading size,Single select,No,Styling,Subheading scale,small; medium; large,
Sections,Body size,Single select,No,Styling,Body text scale,small; medium; large,
Sections,Alignment,Single select,No,Styling,Text alignment,left; center; right,
Sections,Background style,Single select,No,Styling,Section background,default; highlight; primary,
Sections,Columns,Number,No,Grid styling,Grid column count,1 to 4,Code clamps to 1–4
Sections,Image size,Single select,No,Styling,Image scale,small; medium; large; full-width,
Sections,Image fit,Single select,No,Styling,Image crop,cover; contain,
Sections,Button size,Single select,No,Styling,Button scale,small; medium; large,
Sections,Space above,Single select,No,Styling,Top spacing,none; small; medium; large,
Sections,Space below,Single select,No,Styling,Bottom spacing,none; small; medium; large,
Sections,Grid source,Single select,No,Grid rendering,Content source,products; collection-points,
Sections,Grid category,Single select,No,Grid rendering,Legacy product category filter,,
Sections,Catalogue category,Single select,No,Orders catalogue,Product category filter,,Values should match Products Category
Sections,Image position,Single select,No,Split layout,Image side,left; right,
Sections,Button visible,Boolean,No,Section rendering,Explicit button visibility,,Defaults from Button text
Sections,Group key,Single line text,No,Grouped sections,Groups related cards/content,,
Sections,Image caption,Long text,No,Section rendering,Caption below image,,
Products,Code,Single line text,Yes,Catalogue/order payload,Stable product/SKU code,,Primary or unique recommended
Products,Size,Single line text,No,Product card,Pack amount shown above logos,,Code also accepts lowercase size
Products,Product,Single line text,Yes,Catalogue/order payload,Product name,,Primary field recommended
Products,Producer,Single line text,No,Data/legacy,Producer name,,Not currently displayed
Products,Member price,Number,Yes,Catalogue/order validation,Selling price,Currency; 2 decimals,Runtime source of truth
Products,Description,Long text,No,Product popup,Main description fallback when Expanded description is blank,,No longer shown on card
Products,Expanded description,Long text,No,Product popup,Preferred single main popup description,,
Products,Origin,Long text,No,Product card,Primary provenance line,,Falls back to Grown in
Products,Secondary origin,Long text,No,Product card,Second provenance/processing line,,
Products,Crop info,Long text,No,Product popup,General crop or ingredient context,,
Products,Packaging and disposal,Long text,No,Product popup,Packaging material and disposal guidance,,
Products,Ingredients,Long text,No,Product popup,Current ingredient declaration/summary,,
Products,Allergens,Long text,No,Product popup,Allergen information,,
Products,Storage,Long text,No,Product popup,Storage guidance,,
Products,Suggested uses,Long text,No,Product popup,Preparation/use ideas,,
Products,Why we stock it,Long text,No,Legacy data only,Former curation note,,No longer displayed
Products,Source URL,URL,No,Administration,Private traceability source,,Not displayed
Products,Image,File,No,Product card/popup,Product image,,One image
Products,Product Link,URL,No,Legacy/data,External product link,,Code also accepts Link
Products,Popularity,Number,No,Catalogue sorting,Primary sort order,,Falls back to Display order then Order
Products,Display order,Number,No,Catalogue sorting,Fallback sort order,,
Products,Order,Number,No,Catalogue sorting,Legacy fallback sort order,,
Products,Available,Boolean,Yes,Catalogue/order validation,Whether product may be ordered,,Defaults true
Products,Available stock,Rollup,Yes,Catalogue/order validation,Current sellable units,"SUM of linked Stock Movement Quantity change, filtered Active if configured",Sole stock source
Products,Low stock threshold,Number,No,Catalogue,Threshold for low-stock warning,,Defaults 5
Products,Category,Link to table or Multiple select,Yes,Catalogue/filtering,Top-level categories,Use existing Category table or controlled values,May hold multiple values
Products,Subcategory,Link to table or Multiple select,No,Catalogue/filtering,Secondary categories,Controlled values,May hold multiple values
Products,Available collection points,Link to table,No,Order validation,Restricts product to collection points,Collection Points; allow multiple,Blank means all compatible points
Products,Stock Movement,Link to table,No,Stock rollup,Backlink used for stock rollup,Stock Movement,
Products,Sections,Link to table,No,Baserow administration,Optional backlink to sections,Sections,Not read directly
Products,Items per pack,Number,No,Administration,Wholesale pack quantity,,Not currently used by website
Products,Current stock,Number/formula,No,Legacy,Legacy stock value,,Website uses Available stock
Products,Grown in,Link to table or Multiple select,No,Card fallback/search,Origin countries/regions,Controlled origin values,Used only when Origin blank
Products,Certification,Multiple select,No,Product card,Certification logos/text,Soil Association; EU Organic; Wildfarmed; Organic Food Federation,Exact labels map to Site Settings logos
Products,Nutrition basis,Single select,No,Product popup,Nutrition column heading,Per 100 g; Per 100 ml; Per serving,Defaults to Per 100 g
Products,Energy kJ,Number,No,Product popup,Energy in kilojoules,0 decimal places,Blank row is hidden
Products,Energy kcal,Number,No,Product popup,Energy in kilocalories,0 decimal places,Blank row is hidden
Products,Fat,Number,No,Product popup,Fat in grams,2 decimal places,Blank row is hidden
Products,Saturates,Number,No,Product popup,Saturated fat in grams,2 decimal places,Blank row is hidden
Products,Carbohydrate,Number,No,Product popup,Carbohydrate in grams,2 decimal places,Blank row is hidden
Products,Sugars,Number,No,Product popup,Sugars in grams,2 decimal places,Blank row is hidden
Products,Fibre,Number,No,Product popup,Fibre in grams,2 decimal places,Blank row is hidden
Products,Protein,Number,No,Product popup,Protein in grams,2 decimal places,Blank row is hidden
Products,Salt,Number,No,Product popup,Salt in grams,2 decimal places,Blank row is hidden
Collection Points,Name,Single line text,Yes,Catalogue/checkout,Collection point name,,Primary field
Collection Points,Address,Long text,No,Checkout/dashboard,Collection address,,
Collection Points,Active,Boolean,Yes,Checkout validation,Whether point can be selected,,Defaults true
Collection Points,Available to collect here,Multiple select,No,Order validation,Allowed product categories,Values must match Product Category,Blank permits all categories
Collection Points,Image,File,No,Collection point cards,Location image,,One image
Collection Points,Link,URL,No,Collection point cards,External location link,,Code also accepts Website or URL
Collection Points,Description,Long text,No,Collection point cards,Location description,,
Collection Points,Collection time,Single line text,No,Collection point cards/dashboard,Collection window,,Code also accepts Collection slot or Collection day/time
Collection Points,Orders close,Single line text or Date/time,No,Collection point cards,Local order deadline,,Rendered as entered; no timezone conversion
Collection Points,Cupboard Staples,Link to table,No,Legacy/admin,Legacy product relationship,Products,Not read by code
Collection Points,Members,Link to table,No,Admin,Backlink to members,Members,
Members,Xero Contact ID,Single line text,No,Xero/member matching,Xero contact identifier,,May also be used for linked transaction matching
Members,First name,Single line text,Yes,Dashboard/email,Member given name,,
Members,Last name,Single line text,No,Administration,Member family name,,
Members,Order token,Single line text,Yes,Authentication,Secure magic-link token,,Treat as secret
Members,Active,Boolean,Yes,Authentication,Whether member can sign in/order,,
Members,Email,Email,Yes,Authentication/email,Member email,,
Members,Current credit,Rollup/formula or Number,Yes,Dashboard/order response,Current account balance,Typically SUM included Account Transactions,
Members,Weekly commitment,Number,Yes,Dashboard,Standing-order commitment,Currency; 2 decimals,
