Code,Product,Expanded description,Ingredients,Allergens,Storage,Suggested uses,Why we stock it,Source URL
1010,Short grain brown rice,"A nutty wholegrain rice with short, plump grains that cook to a soft, slightly sticky texture.",Short grain brown rice.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store in a cool, dry place.","Use for rice bowls, risotto-style dishes, stuffed vegetables and rice pudding.",A versatile wholegrain staple with a satisfying texture.,https://www.infinityfoodswholesale.coop/essentials/grains/organic-brown-rice-short-grain-italy-infinity-foods-6x500g
1045,Bulghur,"Parboiled, dried and cracked wheat with a light, nutty flavour and a pleasantly firm texture.",Organic bulghur wheat.,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Soak or simmer for tabbouleh, grain salads, pilafs and stuffing.","Quick to prepare and useful for filling, affordable meals.",https://www.infinityfoodswholesale.coop/essentials/grains
1060,Wholemeal Couscous,"Whole durum wheat couscous with a deeper, nuttier flavour and more bite than white couscous.",Organic whole durum WHEAT semolina.,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Cover with hot stock or water, then fluff for salads, tagines and quick side dishes.",A fast-cooking wholegrain base for everyday meals.,https://www.infinityfoodswholesale.coop/food-cupboard/pasta/organic-wholemeal-couscous-italy-infinity-foods-6x450g
1125,British White Quinoa Grain - gluten-free,"A mild, fluffy quinoa grown on British farms and naturally free from gluten-containing ingredients.",Organic white quinoa.,No declarable allergens in the ingredients. Check the pack for current certification and precautionary statements.,"Store in a cool, dry place.","Rinse well, then simmer for salads, bowls, soups or as an alternative to rice.",A British-grown grain alternative with a light texture.,https://www.infinityfoodswholesale.coop/essentials/grains/organic-british-white-quinoa-grain-gluten-free-infinity-foods-6x450g
5025,Dried Chickpeas,"Firm, nutty dried chickpeas that become creamy when soaked and cooked.",Organic chickpeas.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store in a cool, dry place.","Soak overnight and cook for hummus, curries, stews, salads and roasting.","An economical, adaptable source of plant protein.",https://www.infinityfoodswholesale.coop/essentials/beans-and-pulses-dried/organic-chickpeas-italy-infinity-foods-6x500g
5110,Red Split Lentils,"Quick-cooking lentils that break down to a soft, creamy texture without soaking.",Organic red split lentils; organic sunflower oil (1%) used as a processing aid.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store in a cool, dry place.","Rinse and simmer for dhal, soups, curries and sauces.","A fast, affordable base for nourishing meals.",https://www.infinityfoodswholesale.coop/essentials/beans-and-pulses-dried/organic-red-split-lentils-infinity-foods-6x1kg
5130,Yellow Split Peas,"Mild yellow split peas that cook down to a thick, creamy texture.",Organic yellow split peas; organic sunflower oil (approximately 1.2%).,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store in a cool, dry place.","Rinse and simmer for soups, dhal, purees and pease pudding.","A traditional, filling pulse that needs no soaking.",https://www.infinityfoodswholesale.coop/essentials/beans-and-pulses-dried/organic-yellow-split-peas-infinity-foods-6x500g
6020,Almonds,"Raw, unroasted and unsalted almonds with a clean, naturally sweet flavour.",Organic ALMONDS.,Contains ALMONDS (TREE NUTS).,Store cool and dry; refrigerate after opening for longer freshness.,"Eat as a snack or use in baking, granola, salads, nut milk and nut butter.",A useful whole nut for both cooking and snacking.,https://www.infinityfoodswholesale.coop/essentials/nuts-and-seeds/organic-almonds-infinity-foods-6x250g
6057,Hulled Hemp Seed,"Soft, delicately nutty hemp hearts that are easy to sprinkle or blend into food.",Organic hulled hemp seeds.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Keep sealed in a cool, dry place; refrigerate after opening for best freshness.","Sprinkle over porridge and salads or blend into smoothies, sauces and dressings.",An easy way to add texture and plant protein without dominating a dish.,https://www.infinityfoodswholesale.coop/essentials/nuts-and-seeds/organic-hulled-hemp-seeds-infinity-foods-6x250g
6121,Pumpkin Seeds,"Large, dark green Austrian pumpkin seeds with a rich, distinctive nutty flavour.",Organic Austrian pumpkin seeds.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store sealed in a cool, dry place.","Eat raw or toasted; add to bread, granola, salads, soups and pesto.",Their fuller flavour makes a small amount go a long way.,https://www.infinityfoodswholesale.coop/essentials/nuts-and-seeds/organic-austrian-pumpkin-seeds-infinity-foods-6x250g
6130,Sunflower Seed - kernels,"Mild, de-hulled sunflower kernels ready to eat or cook with.",Organic sunflower seed kernels.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store sealed in a cool, dry place.","Toast for salads, add to porridge and granola, or use in bread and seed spreads.","A low-cost, versatile seed for everyday use.",https://www.infinityfoodswholesale.coop/essentials/nuts-and-seeds/organic-sunflower-seed-kernels-infinity-foods-6x250g
6150,Walnut Light Pieces,"Convenient walnut pieces with a rich, buttery flavour and tender crunch.",Organic WALNUTS.,Contains WALNUTS (TREE NUTS).,"Keep sealed in a cool, dry place; refrigerate after opening for longer freshness.","Use in cakes, bread, granola, porridge, salads and savoury stuffing.",Pieces provide the same flavour as whole walnuts with less preparation.,https://www.infinityfoodswholesale.coop/essentials/nuts-and-seeds/organic-walnut-light-pieces-infinity-foods-25kg
7040,Dates – pitted,"Soft, chewy Deglet Nour dates with a caramel-like sweetness and the stones already removed.",Organic Deglet Nour dates.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store in a cool, dry place and keep sealed after opening.","Snack as they are or blend into baking, energy bites, sauces and smoothies.",A convenient whole-fruit sweetener with no preparation needed.,https://www.infinityfoodswholesale.coop/essentials/fruit-dried/organic-dates-pitted-infinity-foods-6x500g
7100,Raisins,"Sun-dried raisins with concentrated sweetness, lightly dressed with sunflower oil to prevent clumping.",Organic raisins; organic sunflower oil (approximately 0.3%).,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store in a cool, dry place and reseal after opening.","Add to porridge, baking, couscous, salads or trail mix.","A simple, naturally sweet cupboard staple.",https://www.infinityfoodswholesale.coop/essentials/fruit-dried/organic-raisins-infinity-foods-6x500g
20660,Jumbo Oats - bags,"Whole oats rolled into large, thick flakes for a heartier, more textured porridge.",Organic jumbo OATS.,Contains OATS and GLUTEN.,"Store in a cool, dry place.","Use for porridge, overnight oats, granola, flapjacks and crumble toppings.",Their substantial texture works well across breakfast and baking.,https://www.infinityfoodswholesale.coop/essentials/cereals-and-mueslis/organic-jumbo-oats-bags-pimhill-12x850g
40540,Wholemeal Strong Bread Flour,"Strong wholemeal wheat flour milled for well-risen, full-flavoured bread.",Organic wholemeal WHEAT flour.,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Use for wholemeal loaves, rolls, pizza dough and mixed-flour sourdough.",A dependable British-milled flour for everyday bread making.,https://www.infinityfoodswholesale.coop/essentials/flours-and-baking-sundries
40545,Plain white flour,Finely milled soft wheat flour for general baking and cooking.,Organic white WHEAT flour with statutory fortification where applicable.,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Use for cakes, biscuits, pastry, pancakes, sauces and general cooking.","A core, versatile baking ingredient at an accessible price.",https://www.infinityfoodswholesale.coop/essentials/flours-and-baking-sundries/organic-plain-white-flour-doves-farm-25kg
40560,Strong White Bread Flour,High-protein white wheat flour formulated to develop gluten and give bread a reliable rise.,Organic WHEAT flour with statutory fortification and ascorbic acid (vitamin C).,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Use for yeasted loaves, rolls, pizza bases and sourdough.",A consistent bread flour suitable for both hand and machine baking.,https://www.infinityfoodswholesale.coop/essentials/flours-and-baking-sundries/organic-strong-white-bread-flour-with-vitamin-c-doves-farm-16kg
80876,Carlin Peas,"Traditional British carlin peas, also known as black badger peas, with a firm texture and earthy flavour.",Organic carlin peas.,No declarable allergens in the ingredients. Check the pack for current precautionary statements.,"Store in a cool, dry place.","Soak and cook for stews, salads, curries or traditional parched peas.",A distinctive British pulse that supports a more diverse home-grown food system.,https://www.infinityfoodswholesale.coop/price-lists/ms-excel-csv
80895,Whole Fava Beans,"Large dried British fava beans with a robust, earthy flavour.",Whole dried fava beans.,May contain naturally occurring vicine and convicine; people with favism should avoid fava beans. Check the pack for allergen advice.,"Store in a cool, dry place.","Soak and cook for ful, soups, stews, dips and bean salads.",A protein-rich British-grown pulse suited to many cuisines.,https://www.infinityfoodswholesale.coop/price-lists/ms-excel-csv
152563,Wholewheat Spaghetti - in paper,"Wholewheat durum wheat spaghetti with a firm bite, packed in paper.",Organic whole durum WHEAT semolina; water.,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Boil until al dente and serve with tomato sauces, vegetables or olive oil.",A familiar wholegrain staple with reduced plastic packaging.,https://www.infinityfoodswholesale.coop/food-cupboard/pasta
152565,Wholewheat Fusilli - in paper,"Wholewheat spiral pasta that holds chunky sauces and dressings well, packed in paper.",Organic whole durum WHEAT semolina; water.,Contains WHEAT and GLUTEN.,"Store in a cool, dry place.","Use with pesto, vegetable sauces, bakes and pasta salads.",The shape is adaptable and the paper pack reduces plastic.,https://www.infinityfoodswholesale.coop/food-cupboard/pasta
